"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Akela-Failover"	"{2B13B3EA-0869-40b9-842C-E1548C90F0D9}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Onderdoorboring"	"{19FD1396-2839-42e4-88E4-949D24135028}"	""	""	""	""	"Onderdoorboring"	"Gebruikt voor de registratie van kenmerken en de geometrie van een boring onder een weg of spoorweg."	""	"Onderdoorboring"	"Gebruikt voor de registratie van kenmerken en de geometrie van een boring onder een weg of spoorweg."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Onderdoorboring"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#AbstracteAanvullendeGeometrie"	""	""
"CLASS"	"OSLO-Onderdeel"	"Onderwaterkruising"	"{3DC61304-C0DE-4723-9D51-2B72E78A86C1}"	""	""	""	""	"Onderwaterkruising"	"Gebruikt voor de registratie van kenmerken en geometrie van een ruimte waar kabels en leidingen onder een waterweg door gaan."	""	"Onderwaterkruising"	"Gebruikt voor de registratie van kenmerken en geometrie van een ruimte waar kabels en leidingen onder een waterweg door gaan."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Onderwaterkruising"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#AbstracteAanvullendeGeometrie"	""	""
"CLASS"	"OSLO-Abstracten"	"OmhullendeInrichting"	"{9EADCA32-44E9-4ae5-949E-E76D0CF9B14D}"	""	""	""	""	"Omhullende inrichting"	"Abstracte voor het groeperen van de relaties voor onderdelen die kabels kunnen omhullen."	""	"Omhullende inrichting"	"Abstracte voor het groeperen van de relaties voor onderdelen die kabels kunnen omhullen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"OmhullendeInrichting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"Leiding"	"{62F42F71-6910-43d9-922E-67E05EE10788}"	""	""	""	""	"Leiding"	"Abstracte om de gemeenschappelijke eigenschappen en relaties van de verschillende soorten leidingen onder één noemer te houden."	""	"Leiding"	"Abstracte om de gemeenschappelijke eigenschappen en relaties van de verschillende soorten leidingen onder één noemer te houden."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"Leiding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject, https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#KabelgeleidingEnLeidingBevestiging"	""	""
"CLASS"	"OSLO-Abstracten"	"Kabel"	"{5615DA5B-E557-46c9-AF61-2A9B1D0006E9}"	""	""	""	""	"Kabel"	"Abstracte voor attributen en relaties van allerlei types kabels."	""	"Kabel"	"Abstracte voor attributen en relaties van allerlei types kabels."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"Kabel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Implementatieelement"	"Pipe"	"{3DA07EAF-9484-4a56-A418-C101CD478775}"	"OmhullendeInrichting, Leiding"	""	""	""	"Pipe"	"Een buis die dienst kan doen als object voor het omhullen van meerdere kabels of andere (kleinere) leidingen."	"Gebruik dit type enkel voor aanlevering voor AKELA indien geen specifieke types aanwezig zijn in OTL."	"Pipe"	"Een buis die dienst kan doen als object voor het omhullen van meerdere kabels of andere (kleinere) leidingen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	"Pipe"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#OmhullendeInrichting, https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Leiding"	""	""
"CLASS"	"OSLO-Implementatieelement"	"TelecommunicationsCable"	"{B7693455-069B-4fb4-A4A4-E72B0BFA21FA}"	"Kabel"	""	""	""	"Telecommunications cable"	"Een aansluiting of reeks aansluitingen van een nutsvoorzieningennet voor het overbrengen van data van de ene locatie naar een andere."	"Gebruik dit type enkel voor aanlevering voor AKELA indien geen specifieke types aanwezig zijn in OTL."	"Telecommunications cable"	"Een aansluiting of reeks aansluitingen van een nutsvoorzieningennet voor het overbrengen van data van de ene locatie naar een andere."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	"TelecommunicationsCable"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Kabel"	""	""
"CLASS"	"OSLO-Implementatieelement"	"ElectricityCable"	"{ACAE8B4A-92D3-4a1d-9C4A-024B1BBBA765}"	"Kabel"	""	""	""	"Electricity cable"	"Een aansluiting of reeks aansluitingen van een nutsvoorzieningennet voor het overbrengen van elektriciteit van de ene locatie naar een andere."	"Gebruik dit type enkel voor aanlevering voor AKELA indien geen specifieke types aanwezig zijn in OTL."	"Electricity cable"	"Een aansluiting of reeks aansluitingen van een nutsvoorzieningennet voor het overbrengen van elektriciteit van de ene locatie naar een andere."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	"ElectricityCable"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Kabel"	""	""
"CLASS"	"OSLO-Implementatieelement"	"ActivityComplex"	"{9D55DD38-289E-4a44-AB4E-98F53B304039}"	""	""	""	""	"Activity complex"	"Het gehele gebied dat door dezelfde exploitant op dezelfde locatie of op verschillende geografische locaties wordt beheerd,inclusief alle infrastructuur,apparatuur en materialen."	"Gebruik dit type enkel voor aanlevering voor AKELA indien geen specifieke types aanwezig zijn in OTL."	"Activity complex"	"Het gehele gebied dat door dezelfde exploitant op dezelfde locatie of op verschillende geografische locaties wordt beheerd,inclusief alle infrastructuur,apparatuur en materialen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	"ActivityComplex"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Implementatieelement"	"Appurtenance"	"{C846E981-E2B8-4451-8151-777F32231998}"	""	""	""	""	"Appurtenance"	"Appurtenance-objecten zijn toebehoren of accessoires, dus allerlei apparaten, toestellen en dergelijke,kortom diverse soorten leidingelementen."	"Gebruik dit type enkel voor aanlevering voor AKELA indien geen specifieke types aanwezig zijn in OTL."	"Appurtenance"	"Appurtenance-objecten zijn toebehoren of accessoires, dus allerlei apparaten, toestellen en dergelijke,kortom diverse soorten leidingelementen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	"Appurtenance"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
