"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Constructie-element"	"{59AC54A6-1C33-4cba-A679-37189CBFDC4F}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Breedplaat"	"{291EB400-315F-43e4-9619-F77BA7DAB112}"	""	""	""	""	"Breedplaat"	"Geprefabriceerd structuurelement dat over de volledige lengte voorzien is van minstens 2 driedimensionale tralieliggers en dat bestemd is om de meewerkende onderkant te vormen van een dragende brugdekplaat of van een bouwkundige constructie."	""	"Breedplaat"	"Geprefabriceerd structuurelement dat over de volledige lengte voorzien is van minstens 2 driedimensionale tralieliggers en dat bestemd is om de meewerkende onderkant te vormen van een dragende brugdekplaat of van een bouwkundige constructie."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Breedplaat"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#ConstructieElement"	""	""
"CLASS"	"OSLO-Onderdeel"	"Druklaag"	"{5F27810F-B694-48b8-B096-F7F368BF3AE2}"	""	""	""	""	"Druklaag"	"Een betonnen afwerklaag die ter plaatste wordt gestort op een (betonnen) constructievloer."	""	"Druklaag"	"Een betonnen afwerklaag die ter plaatste wordt gestort op een (betonnen) constructievloer."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Druklaag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#ConstructieElement"	""	""
"CLASS"	"OSLO-Onderdeel"	"BetonnenPlaat"	"{9520E49A-7912-4f84-9F53-BBA8386E0598}"	"BetonnenConstructieObject"	""	""	""	"Betonnen plaat"	"Een vlak, plat betonnen enkelvoudig constructie-element."	""	"Betonnen plaat"	"Een vlak, plat betonnen enkelvoudig constructie-element."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"BetonnenPlaat"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#BetonnenConstructieObject"	""	""
"CLASS"	"OSLO-Abstracten"	"ConstructiefObject"	"{A60DBF47-21F3-4347-9551-6AB088E9B907}"	""	""	""	""	"Constructief object"	"Een bundeling van alle constructieve installaties."	""	"Constructief object"	"Een bundeling van alle constructieve installaties."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"ConstructiefObject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#ConstructieElement"	""	""
"CLASS"	"OSLO-Onderdeel"	"BetonnenConstructieObject"	"{8CFAF1D8-5DD4-4cf7-BA3F-D45A38D2FA73}"	"BetonnenConstructieElement"	""	""	""	"Betonnen constructie object"	"Een generiek betonnen constructie-element dat op maat gemaakt is. Dit gaat niet over een (standaard) betonnen profiel of plaat, maar over een specifiek gevormd betonnen object."	""	"Betonnen constructie object"	"Een generiek betonnen constructie-element dat op maat gemaakt is. Dit gaat niet over een (standaard) betonnen profiel of plaat, maar over een specifiek gevormd betonnen object."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"BetonnenConstructieObject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#ConstructieElement, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#BetonnenConstructieElement"	""	""
"CLASS"	"OSLO-Onderdeel"	"Metselwerk"	"{9D852B14-BD0F-4fc7-A7CC-FFA9D043B11E}"	""	""	""	""	"Metselwerk"	"Bouwconstructie met stenen waarbij metselspecie het verband tussen de stenen verzorgt."	""	"Metselwerk"	"Bouwconstructie met stenen waarbij metselspecie het verband tussen de stenen verzorgt."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Metselwerk"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#ConstructieElement"	""	""
"CLASS"	"OSLO-Abstracten"	"BetonnenConstructieElement"	"{B42C960D-E743-4e77-B494-866492FF1DF0}"	""	""	""	""	"Betonnen constructie-element"	"Bundeling van gemeenschappelijke eigenschappen van betonnen constructie-elementen."	""	"Betonnen constructie-element"	"Bundeling van gemeenschappelijke eigenschappen van betonnen constructie-elementen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"BetonnenConstructieElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"StalenConstructieObject"	"{B83C8005-E777-446d-B426-8A0BACDEC0A1}"	""	""	""	""	"Stalen constructie-object"	"Op maat gemaakt generiek stalen object dat dient ter constructie. Dit kan gemaakt zijn uit verschillende stalen delen aan elkaar gelast/gebout/... die één geheel vormen. Dit gaat niet over een standaard profiel of plaat, maar over een specifiek gevormd stalen object, zoals bijvoorbeeld: een stalen verbindingsknoop,..."	""	"Stalen constructie-object"	"Op maat gemaakt generiek stalen object dat dient ter constructie. Dit kan gemaakt zijn uit verschillende stalen delen aan elkaar gelast/gebout/... die één geheel vormen. Dit gaat niet over een standaard profiel of plaat, maar over een specifiek gevormd stalen object, zoals bijvoorbeeld: een stalen verbindingsknoop,..."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"StalenConstructieObject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#ConstructieElement, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#StalenConstructieElement"	""	""
"CLASS"	"OSLO-Onderdeel"	"StalenPlaat"	"{0A859520-DF69-4e6e-B579-5C3F4B5B42D3}"	"StalenConstructieObject"	""	""	""	"Stalen plaat"	"Een vlak, plat stalen enkelvoudig constructie-element."	""	"Stalen plaat"	"Een vlak, plat stalen enkelvoudig constructie-element."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"StalenPlaat"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#StalenConstructieObject"	""	""
