"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Grondwerken"	"{E388FA1A-BCB4-4fdd-84C0-0E646CFF3F89}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Levenscyclus"	"Afdekking"	"{E136ADB6-A16D-4f31-9F3C-E6342CD9ACBD}"	""	""	""	""	"Afdekking"	"Wordt beschouwd als de verzameling van beheeractiviteiten die uitgevoerd kunnen worden op grond."	""	"Afdekking"	"Wordt beschouwd als de verzameling van beheeractiviteiten die uitgevoerd kunnen worden op grond."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#"	"Afdekking"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"PiezometrischeBuis"	"{5470D1BD-1043-47c1-B0E3-3F8CA6D94FEF}"	""	""	""	""	"Piezometrische buis"	"Een al dan niet permanente buis om waterstanden bij grondverlaging te meten."	""	"Piezometrische buis"	"Een al dan niet permanente buis om waterstanden bij grondverlaging te meten."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"PiezometrischeBuis"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Abstracten"	"LaagDikte"	"{B866DD1D-FBBC-4ea7-BDEC-C9C679CB17AA}"	""	""	""	""	"Laagdikte"	"Abstracte waarmee aan een laag het attribuut dikte wordt toegekend."	""	"Laagdikte"	"Abstracte waarmee aan een laag het attribuut dikte wordt toegekend."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"LaagDikte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Levenscyclus"	"Uitgraving"	"{4BA0225A-9B64-4b62-830E-C62A8A8A5870}"	""	""	""	""	"Uitgraving"	"Wordt beschouwd als de verzameling van beheeractiviteiten die uitgevoerd kunnen worden op grond."	""	"Uitgraving"	"Wordt beschouwd als de verzameling van beheeractiviteiten die uitgevoerd kunnen worden op grond."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#"	"Uitgraving"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Grond"	"{DEDF0AA2-E550-47e0-A010-1A6B11D0941F}"	"Laag, LaagDikte"	""	""	""	"Grond"	"Lithologisch hoofd- en nevenbestanddeel (als code) van de laag zoals gebruikt bij Databank Ondergrond Vlaanderen (gecodeerde lithologie en geotechnische codering)."	""	"Grond"	"Lithologisch hoofd- en nevenbestanddeel (als code) van de laag zoals gebruikt bij Databank Ondergrond Vlaanderen (gecodeerde lithologie en geotechnische codering)."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Grond"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#LaagDikte, https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Laag"	""	""
"CLASS"	"OSLO-Levenscyclus"	"Afgraving"	"{406C96D6-440C-49d5-966C-2051CB8AAE6E}"	""	""	""	""	"Afgraving"	"Wordt beschouwd als de verzameling van beheeractiviteiten die uitgevoerd kunnen worden op grond."	""	"Afgraving"	"Wordt beschouwd als de verzameling van beheeractiviteiten die uitgevoerd kunnen worden op grond."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#"	"Afgraving"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Abstracten"	"Laag"	"{58E7E3BD-A9A9-4e04-957D-942F897D7ED8}"	""	""	""	""	"Laag"	"Abstracte voor de gemeenschappelijke eigenschappen van de onderliggende verhardings- en funderings-onderdelen."	""	"Laag"	"Abstracte voor de gemeenschappelijke eigenschappen van de onderliggende verhardings- en funderings-onderdelen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"Laag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Levenscyclus"	"Ophoging"	"{31403BF5-7F2C-4cfb-A68A-FF029349E0A3}"	""	""	""	""	"Ophoging"	"Wordt beschouwd als de verzameling van beheeractiviteiten die uitgevoerd kunnen worden op grond."	""	"Ophoging"	"Wordt beschouwd als de verzameling van beheeractiviteiten die uitgevoerd kunnen worden op grond."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#"	"Ophoging"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Levenscyclus"	"Bemesting"	"{19174448-331E-4090-8281-AC2377205BB1}"	""	""	""	""	"Bemesting"	"Wordt beschouwd als de verzameling van beheeractiviteiten die uitgevoerd kunnen worden op grond."	""	"Bemesting"	"Wordt beschouwd als de verzameling van beheeractiviteiten die uitgevoerd kunnen worden op grond."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#"	"Bemesting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
