"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Zoutbijlaadplaats"	"{2B13B3EA-0869-40b9-842C-E1548C90F0D9}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Netwerkpoort"	"{2E04F022-D23F-4f64-B2B5-E78D3044EDAE}"	""	""	""	""	"Netwerkpoort"	"De ingang van het toestel samen met component die erop zit,bv. SFP of XFP."	""	"Netwerkpoort"	"De ingang van het toestel samen met component die erop zit,bv. SFP of XFP."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Netwerkpoort"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Lockermanagementmodule"	"{EBFC513B-7CA1-4b26-B1D7-DC1EF0156CDC}"	""	""	""	""	"Lockermanagementmodule"	"Inrichting voor het beheer van lockerkasten."	""	"Lockermanagementmodule"	"Inrichting voor het beheer van lockerkasten."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Lockermanagementmodule"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Pomp"	"{7808769D-821E-4d67-AEEA-DDCA86EB8048}"	""	""	""	""	"Pomp"	"Een pomp is een werktuig dat water verplaatst door er energie aan af te geven in de vorm van een drukverhoging of snelheidsverhoging."	""	"Pomp"	"Een pomp is een werktuig dat water verplaatst door er energie aan af te geven in de vorm van een drukverhoging of snelheidsverhoging."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Pomp"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#LinkendElement"	""	""
"CLASS"	"OSLO-Onderdeel"	"Stuurklep"	"{336ABF25-9E55-472b-B64B-4A5DADC725C9}"	""	""	""	""	"Stuurklep"	"Een afsluiter die vanop afstand bediend wordt om te bepalen of er al of niet vloeistof of gas door de leiding stroomt."	""	"Stuurklep"	"Een afsluiter die vanop afstand bediend wordt om te bepalen of er al of niet vloeistof of gas door de leiding stroomt."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Stuurklep"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Persleiding"	"{0EDDF127-D5D3-40b1-BFF8-F55788952B50}"	""	""	""	""	"Persleiding"	"Ondergronds kanaal of pijp voor afvoer van een vloeistof of gas onder druk."	""	"Persleiding"	"Ondergronds kanaal of pijp voor afvoer van een vloeistof of gas onder druk."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Persleiding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Buis"	""	""
"CLASS"	"OSLO-Onderdeel"	"TrekdraadEncoderNiveaumeting"	"{9806F260-7C1D-4ff9-B007-8C3903F94A5A}"	"Niveaumeting"	""	""	""	"Trekdraad encoder niveaumeting"	"Een inrichting voor het bepalen van het peil van een vloeistof (bv het peil van een waterloop, uitgedrukt in meter TAW). Deze inrichting maakt gebruik van een combinatie van vlotter-kabel-encoder. Het resultaat wordt omgezet in een uitleesbaar signaal."	"Het betreft de hele inrichting, dus zowel de trekdraad encoder als de vlotter."	"Trekdraad encoder niveaumeting"	"Een inrichting voor het bepalen van het peil van een vloeistof (bv het peil van een waterloop, uitgedrukt in meter TAW). Deze inrichting maakt gebruik van een combinatie van vlotter-kabel-encoder. Het resultaat wordt omgezet in een uitleesbaar signaal."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"TrekdraadEncoderNiveaumeting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Niveaumeting"	""	""
"CLASS"	"OSLO-Onderdeel"	"UltrasoonNiveaumeting"	"{560F6EE9-86C4-4bf8-A681-8DD607B7504F}"	"Niveaumeting"	""	""	""	"Ultrasoon niveaumeting"	"Een inrichting voor het bepalen van het peil van een vloeistof (bv. het peil van een waterloop, uitgedrukt in meter TAW). De sensor meet het tijdsinterval tussen het uitzenden en ontvangen van geluidsgolven en bepaald hiermee de afstand (hoogte) tot een object (water). Het resultaat wordt omgezet in een uitleesbaar signaal.

"	""	"Ultrasoon niveaumeting"	"Een inrichting voor het bepalen van het peil van een vloeistof (bv. het peil van een waterloop, uitgedrukt in meter TAW). De sensor meet het tijdsinterval tussen het uitzenden en ontvangen van geluidsgolven en bepaald hiermee de afstand (hoogte) tot een object (water). Het resultaat wordt omgezet in een uitleesbaar signaal.

"	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"UltrasoonNiveaumeting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Niveaumeting"	""	""
"CLASS"	"OSLO-Onderdeel"	"CapacitieveNiveaumeting"	"{CC2AA4DA-AB58-4de6-B5C9-643A5DF2BC1B}"	"Niveaumeting"	""	""	""	"Capacitieve niveaumeting"	"Een inrichting voor het bepalen van het peil van een vloeistof (bv. het waterniveau in een vloeistoftank of lekwaterput van een kelder). Een capacitieve sensor meet de aan- of afwezigheid van een materiaal of vloeistof. Het meest gebruikte type is de driepunts elektrode, hierbij krijgt elke elektrode een eigen grenswaarde, uit de combinatie van de gegeven die de  verschillende elektroden oplevert kan het niveau bepaald worden. Het resultaat wordt omgezet in een uitleesbaar signaal.
"	""	"Capacitieve niveaumeting"	"Een inrichting voor het bepalen van het peil van een vloeistof (bv. het waterniveau in een vloeistoftank of lekwaterput van een kelder). Een capacitieve sensor meet de aan- of afwezigheid van een materiaal of vloeistof. Het meest gebruikte type is de driepunts elektrode, hierbij krijgt elke elektrode een eigen grenswaarde, uit de combinatie van de gegeven die de  verschillende elektroden oplevert kan het niveau bepaald worden. Het resultaat wordt omgezet in een uitleesbaar signaal.
"	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"CapacitieveNiveaumeting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Niveaumeting"	""	""
"CLASS"	"OSLO-Onderdeel"	"HydrostatischeNiveaumeting"	"{D277C54E-E877-4826-88EC-36401278B08A}"	"Niveaumeting"	""	""	""	"Hydrostatische niveaumeting"	"Een inrichting voor het bepalen van het peil van een vloeistof (bv. het waterniveau in een vloeistoftank of lekwaterput van een kelder). De sensor meet de hydrostatische druk (gewicht) van een vloeistof en bepaalt met deze gegevens het niveau van de vloeistof. Het resultaat wordt omgezet in een uitleesbaar signaal.
"	""	"Hydrostatische niveaumeting"	"Een inrichting voor het bepalen van het peil van een vloeistof (bv. het waterniveau in een vloeistoftank of lekwaterput van een kelder). De sensor meet de hydrostatische druk (gewicht) van een vloeistof en bepaalt met deze gegevens het niveau van de vloeistof. Het resultaat wordt omgezet in een uitleesbaar signaal.
"	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"HydrostatischeNiveaumeting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Niveaumeting"	""	""
